WORD,MEANING
a blind alley,A direction that leads nowhere
a bolt from the blue,A great surprise
a cat's paw,A person used as a tool or dupe
a feather in one's cap,Something to be proud of
a flash in the pan,Promising at the start but then disappointing
a fly in the ointment,Something that spoils the enjoyment
a lick and a promise,To do something in a hasty manner
a pig in a poke,A disappointment
a pretty kettle of fish,A messy situation
a red herring,Something that diverts attention
a sacred cow,A person who cannot be criticized
a square peg in a round hole,An able man in the wrong job
a wet blanket,One who spoils the fun
a white elephant,A costly and useless possession
abhor,To utterly hate
abjure,Renounce
abortive,Fruitless
abound,To exist in great numbers
abrogate,Repeal by law
abstemious,Moderate in eating
absurd,Ridiculous
access,Admittance
accommodate,To adjust
accomplice,An associate in crime
accost,To approach and speak to
Achilles heel,Weak spot
acknowledge,Admit
acme,Peak
acrimonious,Bitter
acute,Severe
adamant,Inflexible
adherent,Supporter
admonish,To warn
adroit,Skillful
advent,Coming of an important event
adversary,Enemy
adverse,Unfavorable
advocate,To support
aegis,Protection
afflict,To trouble greatly
affluent,Wealthy
alacrity,Quick willingness
allay,Soothe
alleged,Supposed
alleviate,Make easier
allude,Hint
aloof,Distant
altruistic,Unselfish
ambiguous,Vague
ameliorate,Improve
amicable,Friendly
amnesty,A general pardon
amorous,Full of love
an ax to grind,Having a selfish motive
analogous,Comparable
anathema,A curse
annals,Historical records
anomaly,Abnormality
anthropologist,Studies mankind's customs
antipathy,Dislike
antiquated,Out-of-date
antithesis,Exact opposite
apathy,Lack of interest
appalled,Shocked
appellation,A name
apple polishing,Trying to gain favor
arbiter,Judge
arbitrary,Based on whim
archaic,Out of date
ardent,Eager
array,Arrangement
artifact,A hand-made object
artifice,Trickery
artless,Innocent
as broad as it is long,Makes little difference
ascend,To rise
ascertain,Discover
ascetic,One who practices self-denial
asinine,Stupid
asperity,Bitterness of temper
aspirant,Candidate for a better job
aspire,To strive for
asset,Something of value
assiduous,Busy
astute,Keen
atrophy,Waste away
attenuated,Weakened
attest,Confirm as accurate
atypical,Nonconforming
au courant,Up-to-date
audacity,Boldness
augment,Increase
austere,Simple
automaton,A robot
avarice,Greed
aversion,Strong dislike
avid,Enthusiastic
awesome,Inspiring terror
badger,To pester
bagatelle,A trifle
balk,To refuse to move
banal,Trivial
barometer,Instrument for measuring change
bedlam,Uproar
begrudge,To be resentful
behind the eight ball,In trouble
belated,Delayed
belittle,Speak of as unimportant
belligerent,Hostile
benevolent,Kindly
bereft,Deprived of
besiege,To surround
besmirch,Stain
bias,Prejudice
bigot,Prejudiced person
bitter pill to swallow,A humiliating defeat
bizarre,Fantastic
blase,Indifferent
blatant,Disagreeably loud
bliss,Happiness
blow hot and cold,Swing for and against something
blue chip,A highly valuable asset
blunt,Plain spoken
bogus,Fake
bona fide,Genuine
brash,Insolent
brass tacks,The real problem
break the ice,To make a start
brigand,Bandit
bring home the bacon,To succeed
bristle,To have one's hair stand up
buff,A fan
bulwark,Protection
burgeoned,Grew
burn the midnight oil,Work late into the night
bury the hatchet,To make peace
by hook or by crook,At any cost
cache,Secret hiding place
cacophony,Harsh sound
cajole,Coax
callous,Unfeeling
callow,Inexperienced
calumny,Slander
canard,A made-up story
candid,Honest
candor,Frankness
cant,Insincere talk
capitulate,Surrender
capricious,Whimsical
carnage,Slaughter
castigate,Punish
castles in the air,To dream about a wonderful future
catastrophic,Disastrous
cause celebre,A famous law case
caustic,Stinging
celerity,Speed
cessation,A pause
chagrin,Disappointment
charisma,Inspiring leadership quality
charlatan,Fraud
chicanery,Trickery
chimerical,Imaginary
chip off the old block,A son who is like his father
clandestine,Secret
cliche,A commonplace phrase
clique,A small exclusive group
coerce,To force
cogent,Convincing
cognizant,Aware
cold feet,To hesitate because of fear
cold shoulder,To ignore
comely,Handsome
commodious,Spacious
compassion,Kindness
compatible,Harmonious
compensatory,Serving to pay back
complacent,Self-satisfied
complicity,Partnership in wrongdoing
component,Part
compound,To add to
comprehensive,Thorough
concoct,Devise
concomitant,Accompanying
concur,Agree
condescend,Stoop
condolence,Expression of sympathy
condone,Excuse
conductive,Helpful
confidant,Person you tell secrets to
conflagration,Great fire
confront,Come face to face with
congenial,Agreeable
conjecture,Guess
conjugal,Relating to marriage
connoisseur,Expert
connubial,Related to marriage
consternation,Dismay
constrict,Limit
construe,Interpret
consummate,Complete
contemptuous,Looking down on someone
contort,Twist violently
controversial,Debatable
cope,To manage
copious,Plentiful
corpulent,Obese
corroborate,Confirm
coterie,Exclusive group
countenance,Approve
coup,Overthrow
coup de grace,The finishing stroke
covert,Secret
covet,Wish
crave,To desire
criterion,Standard
crocodile tears,Insincere tears
cryptic,Puzzling
culminate,Reach the highest point
culpable,Deserving blame
culprit,One who commits a crime
cumbersome,Burdensome
cumulative,Accumulated
cupidity,Greed
curry,To seek favor by flattery
cursory,Hasty
curtail,Cut short
cynic,Skeptic
dearth,Lack
debacle,Collapse
debilitate,Weaken
debris,Ruins
decade,Ten years
decadence,Decay
decapitate,Behead
declaim,Speak loudly
decorum,Politeness
decrepit,Worn out
deem,To judge
defamatory,Damaging character
degrade,Lower
deleterious,Harmful
delineation,Description
delude,To fool
deluge,Flood
delve,To dig
demeanor,Conduct
demur,To object
denote,Indicate
depict,Portray
deplorable,Pitiable
deploy,Spread out
deprecate,Express disapproval
deride,To make fun of
derived,Received from a source
derogatory,Expressing a low opinion
desist,Cease
destitution,Extreme poverty
desultory,Random
deter,Discourage
detriment,Damage
devout,Sincere
dexterity,Skill
diatribe,Bitter criticism
dilettante,One with little knowledge
diminutive,Small
discern,Recognize
disciple,Follower
discreet,Cautious
disdain,Scorn
disgruntled,Unhappy
disheveled,Disorderly
dismantle,Take apart
disparage,Discredit
disparate,Different
dispersed,Scattered
disseminate,Spread
dissent,Disagree
distraught,Harassed
diversity,Variety
divulge,Reveal
docile,Easy to manage
doddering,Trembling
doleful,Sad
domicile,Home
dormant,Resting
Draconian Code,Severe rules
draw in one's horns,To restrain oneself
dregs,Most worthless part
drudgery,Hard work
dubious,Uncertain
dulcet,Melodious
dupe,Easily fooled person
duplicity,Double-dealing
duress,Force
dyed-in-the-wool,Set in one's ways
edifice,Building
efficacy,Power to produce an effect
effigy,A likeness
effrontery,Boldness
egotist,Conceited person
egregious,Outstandingly bad
elapse,To pass by
elicit,Extract
elucidate,Make clear
elusive,Hard to grasp
emaciated,Wasted away
embellish,Adorn
eminent,Outstanding reputation
emissary,Agent
emit,Give off
emulate,Strive to equal
encomium,High praise
encumbrance,Burden
engrossed,Absorbed
enhance,Intensify
enigma,Puzzle
ennui,Boredom
entourage,Followers
entreaty,Plea
enunciate,Proclaim
epithet,Descriptive name
epitome,Perfect example
equanimity,Composure
eradicate,Wipe out
erudite,Scholarly
eruption,Bursting out
escalation,Intensification
eschew,Keep away from
ethics,Moral philosophy
euphemism,Less direct way of saying something
evaluate,Review
evanescent,Fleeting
eventuate,Result finally
evince,Show clearly
exacerbate,Irritate
excoriate,Criticize severely
excruciating,Agonizing
exhort,Urge strongly
exonerate,Free from guilt
expatriate,Exile
expedient,Advisable
expedite,Carry out promptly
exploit,Utilize
expunge,Erase
expurgate,Remove objectionable parts
extant,Still existing
extinct,No longer existing
extol,Praise highly
extortion,Getting money by threats
extraneous,Not belonging
extrinsic,Coming from outside
exult,Rejoice greatly
exultation,Triumphant joy
fabricate,Make up a lie
facade,Superficial appearance
facet,One side of a situation
facetious,Humorous
facile,Easily accomplished
factitious,Artificial
fair-weather friends,Unreliable friends
fallacious,False
falter,Hesitate
fastidious,Choosy
fat is in the fire,Mischief is done
fatal,Deadly
fatuous,Foolish
feasible,Possible
feeling no pain,Drunk
feint,False attack
felicitous,Happy
felon,Criminal
ferment,Agitation
fervid,Passionate
fetish,Magical object
fetter,Hamper
fiasco,Complete failure
fiat,Official order
flabbergasted,Astounded
flagrant,Notorious
flamboyant,Colorful
flay,Scold harshly
fledgling,Newly developed
flout,Show contempt
fluctuate,Shift
foist,Pass off slyly
foment,Stir up
forthwith,Immediately
fortuitous,Accidental
forty winks,Short nap
fracas,Brawl
fractious,Quarrelsome
frail,Weak
fraught,Filled
fray,Fight
frenetic,Frenzied
frenzy,Frantic outburst
fretful,Worrisome
from pillar to post,One place to another
frugal,Thrifty
fruitless,Useless
frustrate,Foil
fulsome,Excessive
furtive,Stealthy
futility,Uselessness
galvanize,Excite to activity
gamut,Range
garbled,Confused
garrulous,Talkative
gaudy,Showy
gaunt,Thin
genocide,Mass destruction
genre,Category
germane,Relevant
gesticulate,Use gestures
gild the lily,Overpraise
gist,Main point
glean,Collect
glib,Smooth talker
go against the grain,Irritate
gratuity,Tip
gregarious,Social
grimace,Disgusted expression
grotesque,Bizarre
guise,Appearance
gullible,Easily fooled
gusto,Enthusiasm
habitat,Natural environment
halcyon,Peaceful
hapless,Unlucky
harass,Torment
harbinger,Forerunner
have the upper hand,Gain control
haven,Safety
havoc,Ruin
heinous,Evil
heresy,Dissent
heterogeneous,Dissimilar
hirsute,Hairy
histrionics,Emotional display
hoard,Accumulate
hoax,Trick
Hobson's choice,No choice at all
homogeneous,Uniform
hook, line, and sinker,Completely
hostile,Antagonistic
humility,Modesty
hyperbole,Exaggeration
I'm from Missouri,Skeptic
iconoclast,Attacker of beliefs
idyllic,Peaceful
ignominious,Disgraceful
ilk,Kind
imbibe,Drink
imminent,About to happen
impeccable,Faultless
impede,Hinder
imperative,Necessary
imperceptible,Barely noticeable
imperturbable,Calm
impetuous,Impulsive
impious,Irreverent
implacable,Relentless
implore,Plead
importune,Ask urgently
impresario,Organizer
impromptu,Spontaneous
imprudent,Unwise
impunity,Exemption
in a bee line,Shortest route
in apple pie order,Neat order
in seventh heaven,Extreme happiness
in the arms of Morpheus,Asleep
in the doldrums,Depressed
in the lap of the gods,Out of one's hands
inadvertent,Negligent
inane,Silly
inanimate,Lifeless
incapacitated,Disabled
inchoate,Early stage
incipient,Just starting
incisive,Keen
inclement,Stormy
incoherent,Disjointed
incompatibility,Lack of harmony
incongruous,Inconsistent
incontrovertible,Undeniable
incredulous,Skeptical
incumbent,Required
Indian summer,Warm autumn
indict,Accuse
indifference,Lack of concern
indigenous,Native
indigent,Poor
indiscriminate,Random
indoctrinate,Teach principles
indolent,Lazy
inebriated,Drunk
ineffectual,Not effective
inert,Powerless
inevitable,Unavoidable
inexorable,Inflexible
infallible,Always right
infamous,Evil
infraction,Violation
ingratiate,Win confidence
inherent,Inborn
inhibition,Restraint
iniquity,Wickedness
initiate,Start
innate,Inborn
innocuous,Harmless
inordinate,Excessive
insatiable,Impossible to satisfy
insidious,Treacherous
integral,Essential
interject,Interrupt
interloper,Intruder
interminable,Unending
internecine,Mutually destructive
interrogate,Question
intimidate,Frighten
intrepid,Courageous
intrinsic,Inherent
introspective,Self-examining
inundate,Flood
invalidate,Cancel
invective,Abusive speech
inveigh,Attack verbally
inveterate,Habitual
inviolable,Sacred
irascible,Irritable
irate,Angry
irrational,Unreasonable
irrelevant,Unrelated
it's an ill wind that blows nobody good,Someone benefits from misfortune
itinerant,Traveling
ivory tower,Detached from reality
jaunty,Cheerful
jeopardize,Endanger
jettison,Discard
jocose,Humorous
jostle,Push
jubilant,Joyful
jurisdiction,Authority range
juxtapose,Place side by side
keep a stiff upper lip,Stay strong
keep the pot boiling,Maintain interest
know the ropes,Be experienced
labyrinth,Complex maze
laceration,Cut
lackluster,Dull
laconic,Concise
lampoon,Ridicule
landmark,Historic
largess,Generosity
lassitude,Exhaustion
latent,Hidden
laudable,Praiseworthy
lax,Careless
left holding the bag,Blamed unfairly
legerdemain,Sleight of hand
legion,Numerous
let sleeping dogs lie,Avoid reopening conflicts
lethal,Deadly
lethargic,Sluggish
levity,Humor
libel,Written defamation
like Caesar's wife,Above suspicion
lily-livered,Cowardly
liquidation,Disposal
lithe,Graceful
livid,Pale
loaded for bear,Fully prepared
loath,Unwilling
loathe,Despise
lock, stock, and barrel,Completely
longevity,Long life
look a gift horse in the mouth,Criticize a gift
lucrative,Profitable
lugubrious,Very sad
lurid,Sensational
lush,Luxurious
Machiavellian,Cunning and unprincipled
magnanimous,Generous
maim,Cripple
make bricks without straw,Attempt something without necessary resources
maladjusted,Disturbed
malady,Disease
malevolent,Ill-intentioned
malign,Slander
malignant,Harmful and worsening
malleable,Shapeable
malnutrition,Poor diet
mammoth,Huge
mandate,Authoritative command
manifest,Obvious
manifold,Numerous
martinet,Strict disciplinarian
masticate,Chew
mastiff,Large dog
materialism,Focus on possessions
matron,Older married woman
maudlin,Overly sentimental
megalomania,Obsession with power
mendacious,Lying
menial,Lowly
mentor,Guide
mercenary,Greedy
metamorphosis,Transformation
meticulous,Very careful
mien,Appearance
milieu,Environment
modify,Change
mollify,Calm
monolithic,Massive
moribund,Dying
mortality,Death
mortify,Humiliate
motivate,Inspire
mundane,Ordinary
munificent,Generous
murky,Dark
myriad,Countless
nadir,Lowest point
naive,Inexperienced
nascent,Emerging
nebulous,Vague
nefarious,Wicked
negligible,Insignificant
nepotism,Favoritism towards relatives
nettle,Irritate
neurotic,Anxious
neutralize,Counteract
nirvana,Paradise
noisome,Foul-smelling
nomadic,Moving constantly
nominal,In name only
nondescript,Unremarkable
nonentity,Unimportant person
nostalgia,Longing for the past
nuance,Subtle difference
nullify,Cancel
nurture,Care for
nutritive,Nourishing
obese,Very fat
obliterate,Destroy
obloquy,Public disgrace
obscure,Unclear
obsequious,Overly submissive
obsess,Preoccupy
obsolescence,Becoming outdated
obviate,Remove
occult,Mysterious
octogenarian,Person in their eighties
of the first water,Of the highest quality
off the beaten track,Unusual
ominous,Threatening
omnipotent,All-powerful
omnivorous,Eating both plants and animals
on pins and needles,Anxious
on tenterhooks,Nervous anticipation
on the bandwagon,Following the trend
on the carpet,Being scolded
on the dot,Exactly on time
on the qui vive,Alert
on the spur of the moment,Impulsively
once in a blue moon,Rarely
one swallow doesn't make a summer,Don't jump to conclusions
opprobrium,Scorn
opulence,Wealth
originate,Begin
ostensible,Apparent
ostentatious,Showy
oust,Remove
out of one's depth,In over one's head
out of the frying pan into the fire,Into a worse situation
out on a limb,In a risky position
overt,Open
pall,Become dull
palliate,Relieve without curing
paltry,Insignificant
panacea,Universal remedy
pandemonium,Chaos
parable,Moral story
paradox,Contradictory situation
paragon,Model of excellence
paramount,Most important
pariah,Outcast
paroxysm,Sudden outburst
parsimonious,Stingy
pass the buck,Avoid responsibility
WORD,MEANING
passe,Old-fashioned
pathetic,Pitiful
paucity,Shortage
pecuniary,Financial
pedagogue,Teacher
penance,Atonement for sin
penchant,Strong preference
penitent,Regretful
pensive,Thoughtful
penury,Poverty
perceive,Understand
peregrination,Travel
peremptory,Absolute
perfidious,Treacherous
perfunctory,Careless
permeate,Spread through
pernicious,Harmful
perpetrate,Commit
perpetuate,Cause to continue
persevere,Persist
perspicacious,Shrewd
pertinent,Relevant
peruse,Read carefully
perverse,Stubbornly contrary
pesky,Annoying
phenomenon,Unusual occurrence
Philadelphia lawyer,Highly skilled lawyer
phlegmatic,Calm
phobia,Strong fear
pinnacle,Peak
pique,Resentment
pittance,Small amount
placard,Poster
plaintiff,Complaining party (law)
platitude,Cliché
plea bargain,Agree to plead guilty to a lesser charge
plethora,Overabundance; excess
plight,Predicament
poignant,Painful to the feelings, moving
ponder,Consider carefully
potent,Intense, strong, powerful
potentate,Ruler
potential,Possible
potpourri,Mixture, melody
pragmatic,Practical, based on experience
precedent,Custom, model
precipitate,Hasten
preclude,Prevent
precocious,Reaching maturity early
prelude,Introduction
premise,A proposition for argument
premonition,Forewarning
prerogative,Exclusive power or right
prestigious,Well-known
pretext,An excuse
prevalent,Common, prevailing
prevarication,Lying, deviation from the truth
privation,Lack of necessities
procrastinate,Put off, delay
prodigious,Enormous, extraordinary
prodigy,Phenomenon, marvel
proffer,Offer for acceptance
profligate,Wasteful
profound,Intense, deep
profuse,Abundant, overflowing
progeny,Descendants
prognosticate,Foretell the future
prohibition,Forbidding certain actions
prolific,Fertile
promulgate,Make public, proclaim
propagate,Multiply, spread, produce
propensity,Inclination, disposition
propinquity,Nearness in time and place
propitious,Favorable
propriety,Correctness, suitability
proximity,Nearness
prudent,Cautious, wise
pugnacious,Combative
puissant,Powerful
pungent,Sharply stimulating
puny,Weak, unimportant
put the cart before the horse,Reverse the proper order, do things backward
Pyrrhic victory,Too costly victory
qualm,Twinge of conscience
quandary,Dilemma, doubt
quarry,Something hunted or pursued
quell,Crush, stop
quip,Joke
rabid,Furious, mad, fanatical
raconteur,Skilled storyteller
rail,Use abusive language, scold
raiment,Clothing, dress
rampant,Flourishing
rash,Reckless
rationalize,Give a false reason
raucous,Shrill, harsh
raze,Destroy
realm,Someone's special field
rebuke,Reprimand, criticize
recant,Renounce previous statements
recoil,Draw back
recondite,Obscure, hidden
red-letter day,Day of happiness, time for rejoicing
redolent,Fragrant
redress,To right a wrong
refute,Prove wrong, disprove
relegate,Banish, assign to an inferior position
remiss,Negligent, careless
remote,Distant
remuneration,Reward
repent,Desire to make amends, regret
repertoire,Works that an artist is ready to perform
replenish,To restock, fill again
replete,Completely filled with
repose,State of rest
reprehensible,Blameworthy
repress,To put down
reprimand,To scold severely
reproach,Rebuke, reprimand
repudiate,Disown, refuse to accept
repugnant,Repulsive, distasteful
repulse,Drive back
reputed,Believed, thought, supposed
requisite,Requirement
resourceful,Able to meet any situation
respite,Postponement
restrictive,Harsh, confining
reticent,Uncommunicative; silent
retort,Reply, answer
retrospect,Looking backward
reverberating,Reechoing
revere,Admire, respect, honor
revert,Go back
reviled,Scolded
rhetoric,Use (sometimes exaggerated) of language
rife,Widespread
rift,An opening, a split
romp,Move in a lively manner
roster,A list of names
rudimentary,Basic, elementary
rue,Regret
ruminate,Reflect upon, ponder
rustic,Unpolished, countrified
saga,Heroic story
sage,Wise man, philosopher
salient,Outstanding
sally,Sudden rushing forth
salubrious,Wholesome, healthful
salvation,Deliverance from ruin
sanctimonious,Hypocritically religious
sanction,Certify, endorse
sanctuary,Place of protection
sanguine,Hopeful
satiety,Surfeit, excess, fullness
saturate,Fill up completely
save face,To avoid disgrace
schism,Split
scion,Descendant
scoff,To mock
scrutinize,Examine closely
scurrilous,Vulgar, using indecent language
scurry,Run quickly
sedate,Sober, still, quiet, undisturbed
sedentary,Largely inactive
senile,Infirm, weak as a result of old age
serenity,Peaceful repose
servile,Submissive, slavish
shibboleth,Slogan, pet phrase
sinecure,Soft job
singular,Remarkable, uncommon
sinister,Evil
site,Location
Skid Row,Disreputable part of town, inhabited by derelicts
skirmish,Small battle
sleep on it,Postpone a decision while giving it some thought
slovenly,Disorderly, carelessly
sojourn,Temporary stay
solace,Comfort
solicit,Seek earnestly
somber,Sad, gloomy
sophistry,False reasoning or argument
sordid,Filthy, ignoble
sour grapes,To disparage something that you cannot have
spate,Rush, flood
spew,Vomit
spontaneous,On the spur of the moment
sporadic,Occasional
spurious,Counterfeit, false, specious
squeamish,Easily shocked
stagnant,Inactive, dull, motionless
staunch,Firm, trusty, strong
steal one's thunder,To weaken one's position by stating the argument before that person does
steeped,Soaked; saturated; drenched
stentorian,Loud
stereotype,Conventional custom
stiff upper lip,To be courageous in the face of trouble
stigmatize,To mark with a disgrace
stipulate,Make a specific demand
stock in trade,The goods, tools, and other requisites of a trade
straight from the shoulder,In a direct, open way
strident,Rough, harsh, shrill
strife,Unrest, discord
stunted,Held back or checked in natural growth
stupor,Insensible condition, daze
stymie,To hinder
subjugate,Conquer
subservient,Obsequious, servile
substantiate,Ratify, confirm
subterfuge,A trick, deception
subterranean,Underground
succinct,Concise, brief
succulent,Juicy
succumb,Yield
sullen,Grim, ill-humored
sultry,Torrid
sumptuous,Lavish
superficial,On the surface, slight
superfluous,Surplus, excessive
supine,Lying on the back
supplication,Earnest prayer
surfeit,Superabundance, excess
surge,To rush suddenly
surmise,Guess
surreptitious,Accomplished by secret
susceptible,Easily affected
swan song,Final or last
swap horses in midstream,To vote against a candidate running for reelection, to change one's mind
symptomatic,Indicative
taboo,Forbidden
tacit,Not stated, understood, implied
taint,Contaminate
take the bull by the horns,To face a problem directly
take the wind out of one's sails,To remove someone's advantage
tangible,Able to be touched
tantalize,Tease or torment by offering something good, but fail to deliver
tantamount,Identical, equivalent
taut,On edge, keyed up, tense
technology,Related to science of engineering
technology,Applied science
temerity,Foolish boldness
tenable,Supportable; defendable
tenacious,Stubborn, tough
termagant,A shrew, a scolding woman
terminate,To end
terra firma,Solid, firm land
terse,Compact, brief, concise
the acid test,A severe test
the die is cast,An unchangeable decision has been made
the distaff side,Women
the grapevine,A secret means of spreading information
the lion's share,The major portion
the sum and substance,The heart or substantial part
the sword of Damocles,Any imminent danger
the world, the flesh, and the devil,Temptations that cause man to sin
the writing on the wall,An event that predicts the future
therapy,Curing or healing process
throng,Great number of people, crowd
through thick and thin,In spite of all sorts of difficulties
thumbs down,Signal of rejection
thwart,To hinder
timorous,Fearful
tinge,A small amount of; a trace; smattering
to be at large,Not confined or in jail
to be in fine fettle,To be in fine spirits, feeling well
to be under a cloud,To be in temporary disgrace or trouble
to beard the lion,To visit and oppose a person on his own grounds
to break the ice,To make a beginning
to bring down the house,To cause great enthusiasm
to build upon sand,To have a poor base, or not sufficient preparation
to burn the midnight oil,To study or work until very late
to carry the day,To win the approval of the majority
to cool one's heels,To be kept waiting
to do one's heart good,To make one feel happy or better
to draw in one's horns,To become cautious
to eat humble pie,To admit your error and apologize
to feather one's nest,To enrich oneself at every opportunity
to flog a dead horse,To continue to make an issue of something that is over
to get off one's high horse,To act like an ordinary person
to get one's back up,To become angry
to get the sack,To be discharged or fired
to get up on the wrong side of the bed,To be in a bad mood
to go up in smoke,To come to no practical result
to have at one's fingertips,To have ready, to have a thorough knowledge
to hit the nail on the head,To state or guess something correctly
to lay one's cards on the table,To talk frankly
to leave no stone unturned,To make every effort, to try one's best
to lionize a person,To make a big fuss over someone
to live in a fool's paradise,To be happy without a real basis
to maintain the status quo,To keep things as they are
to make ends meet,To manage on a given income
to make the best of a bad bargain,To change or go along with a poor situation
to pay the piper,To bear the consequences
to play possum,To try to fool someone; to make believe one is asleep or dead
to pour oil on troubled waters,To make peace; to calm someone down
to pull one's own weight,To do a fair share of the work
to pull up stakes,To quit a place
to raise Cain,Make a fuss, cause trouble
to rub a person the wrong way,To do something to irritate or annoy
to rule the roost,To be in charge, to be master
to show one's hand,To reveal one's intentions
to sow wild oats,To lead a wild, carefree life
to spill the beans,To give away a secret
to split hairs,To make fine distinctions
to strike while the iron is hot,To take action at the right moment
to take a leaf out of someone's book,To imitate or follow the example
to take by storm,To make a fast impression
to take down a peg,To take the conceit out of a braggart
to take French leave,To go away without permission
to take under one's wing,To become responsible for
to tell tales out of school,To reveal harmful secrets
to throw cold water,To discourage a plan or idea
to throw down the gauntlet,To challenge someone
to throw the book at someone,To give maximum punishment
to tighten one's belt,To get set for bad times or poverty
to tilt at windmills,To fight imaginary enemies
to toe the mark,To obey or stick to a rule or policy
to twist around one's finger,To control completely
to upset the apple cart,To overturn or disturb a plan or intention
to whitewash,To cancel defects, to give a falsely virtuous appearance to something
tolerate,To permit, to put up with
tongue in cheek,Insincerely
tortuous,Winding
tongue in one's cheek,Not to be sincere
tradition,Long-standing practice
tranquil,Peaceful
transient,Fleeting, passing, short-lived
tremulous,Trembling
trenchant,Keen, sharp, biting
trend,General direction
trivial,Petty, worthless
truncated,Cut short
turbulent,Unruly, agitated, riotous
turn the tables,To turn a situation to one's own advantage
turpitude,Evil, wickedness, vileness
tussle,A rough struggle
two strings to one's bow,Two means of achieving one's aim
tyro,Novice, beginner
ubiquitous,Being everywhere at once
ultimate,Final
umbrage,Offense, resentment
unabated,Without subsiding
unconscionable,Unreasonable, without conscience
unctuous,Affectedly emotional
under the wire,Just in time
underwrite,Agree to finance
universal,Widespread
unkempt,Neglected, untidy
unmitigated,As bad as can be, unrelieved
unsavory,Morally bad, disagreeable, offensive
unwieldy,Difficult to handle, bulky
urbane,Polished, civilized
usurp,Annex, grab, seize
utopia,Place of perfection
vacillate,Fluctuate, hesitate
valor,Courage
vapid,Dull, uninteresting
vehemently,Passionately, violently, eagerly
veneer,Thin covering
venerable,Respected, worshipped
venial,Forgivable, pardonable
venom,Poison
vertigo,Dizziness
vestige,Evidence, trace
vexatious,Annoying
viable,Workable
vicissitudes,Difficulties
vigil,Wakeful watching
vigilant,Alert; watchful
vilify,Slander, malign
vindicate,Justify, absolve
virile,Manly, masterful
virtuosity,Great technical skill
virulent,Harmful
vitiate,Destroy the use or value
vitriolic,Biting, burning
vituperation,Abuse, blame
vivacious,Gay, lively
vogue,Fashion
volition,Willpower; choice
voluble,Talkative
voluminous,Bulky, large
voracious,Desiring huge amount
vulnerable,Susceptible, open to attack
vulnerable,Able to hurt
wan,Pale
wane,Decline, decrease
wary,Watchful, shrewd
wash dirty linen in public,To openly discuss private affairs
wear one's heart on one's sleeve,To make one's feelings evident
wheedle,Persuade, coax, cajole
whet,Stir up, stimulate
whimsical,Witty, humorous
wince,Flinch, draw back
windfall,Unexpected financial gain
wink at,To pretend not to see
wistful,Wishful, pensive, longing
without rhyme or reason,Making no sense
woolgathering,Absentmindedness or daydreaming
worth one's weight in gold,Extremely valuable, very useful
wrest,Seize
yen,Strong desire, strong longing
zealous,Enthusiastic
zenith,Top, prime, summit
